;commit_hash;author_date_unix_timestamp;commit_message;fix;classification;contains_bug;ns;nd;nf;entropy;la;ld;lt;ndev;age;nuc;exp;rexp;sexp;contains_bug_gpt;vl;vl_gpt
0;f711d4447fbb7c3adbb7dbe831e65355f20bb0c8;1302724246;Initial commit of the FUSE Fabric project ;False;Feature Addition;True;4.0;13.0;58.0;5.310766856417042;7849.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;21;21
1;bb64568c9f4678b450081ecac3eb631fa086d92e;1302724463;Fix readme ;True;Corrective;False;1.0;1.0;1.0;0.0;6.0;8.0;38.0;1.0;0.002511574074074;1.0;1.0;1.0;0.0;0;0;0
2;6354f5b2d4108e3e8e32dc2c96d7406fd5518178;1302774320;added first cut of a scalate website for fabric ;False;Feature Addition;False;2.0;15.0;31.0;4.538675956697429;1710.0;0.0;13.225806451612904;1.0;0.0186954898446833;1.0;0.0;0.0;0.0;0;0;0
3;73a354b7c8378724ccfadc16ae643789074ed55f;1302776034;enabled website ;False;;False;1.0;1.0;1.0;0.0;1.0;0.0;451.0;2.0;0.0198379629629629;1.0;1.0;1.0;0.0;0;0;0
4;9e49c488503cbd60c8815d65e9af601845377299;1302776400;adding wagon for site deploy ;False;Feature Addition;False;2.0;2.0;2.0;0.5032583347756457;9.0;0.0;318.5;2.0;0.0141550925925925;2.0;2.0;2.0;0.5;0;0;0
5;f0a24f994359a030ec7968ee203b1aa21d38b95a;1302777029;fixed up the readme links ;True;Corrective;False;1.0;1.0;1.0;0.0;10.0;11.0;36.0;1.0;0.6084027777777777;1.0;3.0;3.0;2.0;0;0;0
6;7b2e7cf519ceb2b828cc9c3f0154454d8b31d918;1302777405;Add some commands and features definition ;False;Feature Addition;True;6.0;12.0;30.0;4.235121570666538;1764.0;6.0;23.666666666666668;2.0;0.1024606481481481;2.0;2.0;2.0;0.1666666666666666;1;11;11
7;526ebc61d8d61f1b23305ea178ed620e22ce0bc4;1302777583;tidied up support page ;False;;False;1.0;1.0;1.0;0.0;2.0;4.0;28.0;1.0;0.0377662037037037;1.0;4.0;4.0;1.0;0;0;0
8;ef92a2c3ac318cb214f9b18caf4ca99c99f57347;1302781364;Add a simple getting started guide ;False;Feature Addition;False;2.0;2.0;2.0;0.9290950300256176;79.0;40.0;42.5;2.0;0.0229108796296296;1.0;3.0;3.0;1.0;0;0;0
9;ef4ad4b052116a23e64c154b64bacf47e0fff2bd;1302787451;upgraded the slf4j / logback versions and added logging to the website ;False;Feature Addition;False;2.0;3.0;3.0;0.9706231793241096;53.0;2.0;217.66666666666663;2.0;0.0813927469135802;2.0;5.0;5.0;2.5;0;0;0
10;3f1802c245354b998aa91ed8351365895345e4d4;1302788420;Add an explicit notion of profile for easier manipulation ;False;Feature Addition;True;1.0;5.0;18.0;3.7632315262827696;521.0;64.0;22.444444444444443;1.0;0.0637442129629629;1.0;4.0;4.0;1.0;1;11;11
11;3e694f5199e17694419582232ae1842491941170;1302790944;Rework the getting started guide a bit ;False;;False;3.0;3.0;3.0;0.6369241933371904;47.0;36.0;256.3333333333333;1.0;0.3465162037037037;3.0;5.0;5.0;1.0;0;0;0
12;714b63c6398ae17933626d07cd3a2ae449322b93;1302792879;Fix the user guide to not reference Scalate ;True;Corrective;False;1.0;1.0;1.0;0.0;2.0;2.0;18.0;1.0;0.2148032407407407;1.0;6.0;6.0;2.0;0;0;0
13;e9de286e941f7012626e7c80315f1b103e35f335;1302797071;added spring factory beans for easier operation with ZK ;False;Feature Addition;True;1.0;2.0;3.0;1.4095164409050616;326.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;1;229;229
14;4f4a5539ef2ae6e5922c67a771682d2d93cb0d0d;1302797110;first cut of Fabric support for Camel endpoints so you can easily discover & route to and from endpoints defined in the ZK registry ;False;;True;3.0;8.0;16.0;3.563467403301553;808.0;39.0;41.3125;2.0;0.0139742476851851;1.0;7.0;7.0;2.333333333333333;1;635;635
15;4451c218e27e32310940eadcce22b4e4ff7d92bf;1302809223;Add some docs to the bundles and commands ;False;Feature Addition;True;9.0;16.0;21.0;3.0540160726400414;314.0;180.0;99.42857142857144;2.0;0.1993457892416226;5.0;7.0;7.0;1.5555555555555556;0;819;0
16;88fa4c799dee0bd3e4aab89062c4e5202cde9da4;1302813492;Starting and stopping producer cache in fabric-camel to handle its lifecycle properly -  ;False;;False;1.0;1.0;1.0;0.0;3.0;0.0;189.0;1.0;0.1896064814814815;1.0;0.0;0.0;0.0;0;0;0
17;998473aa3c3eb468e407f2602903f9ef0134d32f;1302814354;Polished ;False;;False;1.0;3.0;8.0;2.4669453721331966;16.0;11.0;44.875;1.0;0.1995833333333333;1.0;1.0;1.0;0.0;0;0;0
18;3d0d6c337325730622cf3710e7b84730168d9a6a;1302850792;Minor change to the getting started guide  add an architecture overview on the users guide ;False;Feature Addition;False;1.0;1.0;2.0;0.8904916402194913;21.0;5.0;53.5;2.0;0.6814872685185185;2.0;8.0;8.0;4.0;0;0;0
19;43eb8dc070eb8561540b615d9fc9b93d7415d4f4;1302855282;improved the user guide some more ;False;;False;1.0;1.0;1.0;0.0;76.0;7.0;34.0;2.0;0.0519675925925925;1.0;8.0;8.0;4.0;0;0;0
20;80fd442670aa83f3d9d769e97dfaaca91b962eb0;1302855952;Add generated commands ;False;Feature Addition;False;5.0;6.0;7.0;1.9312449817801856;73.0;8.0;156.85714285714286;2.0;0.3874255952380952;2.0;9.0;9.0;3.4;0;0;0
21;ee0d699509f66dd66701705036922a782ad94d5c;1302858547;added extra command links ;False;Feature Addition;False;1.0;2.0;2.0;0.7219280948873623;3.0;2.0;67.0;2.0;0.5024421296296296;2.0;9.0;9.0;5.0;0;0;0
22;37c6440b4cac418846fb72cec1b953ec0c7d6379;1302858788;added link to commands lin the doc page ;False;Feature Addition;False;1.0;1.0;1.0;0.0;8.0;0.0;42.0;1.0;0.9776388888888888;1.0;10.0;10.0;6.0;0;0;0
23;c9e9f2b86bf4040ed263b788a389e85d3ab267d5;1302859285;fixed up the command formatting ;True;Corrective;False;1.0;2.0;2.0;0.1175946656588647;56.0;70.0;159.5;2.0;0.0221643518518518;2.0;11.0;11.0;7.0;0;0;0
24;c0edf89e607468de0bfd5fb0f7d5510ccfc94a57;1302863021;added details of more of the fabric extensions ;False;Feature Addition;False;1.0;1.0;1.0;0.0;35.0;10.0;107.0;2.0;0.0517824074074074;1.0;12.0;12.0;8.0;0;0;0
25;3636604e44368010428ef8955024e63f55cc2418;1302863407;Fixed up the css to show confluence tables nicer ;True;Corrective;False;1.0;1.0;1.0;0.0;46.0;0.0;189.0;1.0;1.031099537037037;1.0;13.0;13.0;9.0;0;0;0
26;2a8fc1fd7b04870b584ac4da738af6c645c567d6;1302863908;added the newer wikitext dependencies to the scalate plugin to try fix the wikitext issues ;True;Corrective;False;1.0;1.0;1.0;0.0;13.0;0.0;255.0;2.0;0.0535069444444444;1.0;14.0;14.0;10.0;0;0;0
27;22121ceeb7f64178e3d5d039991b7fb5ce960e02;1302863993;fixed up text a tad ;True;Corrective;False;1.0;1.0;1.0;0.0;1.0;1.0;26.0;1.0;1.0001157407407408;1.0;15.0;15.0;11.0;0;0;0
28;9ce1b9d9442128d2ae37538bba22f6caeb21190a;1302871475;minor website tweaks ;False;;False;1.0;2.0;3.0;1.4355205042826666;4.0;5.0;58.0;1.0;0.7966820987654321;2.0;16.0;16.0;12.0;0;0;0
29;73abc63275e9807164089c52fca0022c295edbe9;1302877015;Update project logo -  ;False;;False;1.0;1.0;1.0;0.0;1.0;1.0;54.0;1.0;1.188599537037037;1.0;0.0;0.0;0.0;0;0;0
